title;answer;type;year;attribution;occurrences;folder;plannedClues;processedAssets
Et il me parla de cerisiers, de poussières et d'une montagne;Et il me parla de cerisiers, de poussières et d'une montagne (livre, 2016, auteur : Antoine Paje);livre;2016;auteur : Antoine Paje;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-et-il-me-parla-de-cerisiers-de-poussieres-et-d-une-montagne-2016;3;0
Fondation;Fondation (livre, 1942, auteur : Isaac Asimov);livre;1942;auteur : Isaac Asimov;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-fondation-1942;3;0
Guerre et Paix;Guerre et Paix (livre, 1863, auteur : Léon Tolstoï);livre;1863;auteur : Léon Tolstoï;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-guerre-et-paix-1863;3;0
Harry Potter;Harry Potter (livre, 1997, auteur : J. K. Rowling);livre;1997;auteur : J. K. Rowling;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-harry-potter-1997;3;0
La Horde du Contrevent;La Horde du Contrevent (livre, 2004, auteur : Alain Damasio);livre;2004;auteur : Alain Damasio;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-la-horde-du-contrevent-2004;3;0
Le Crime de l'Orient-Express;Le Crime de l'Orient-Express (livre, 1934, auteur : Agatha Christie);livre;1934;auteur : Agatha Christie;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-le-crime-de-l-orient-express-1934;3;0
Les Cahiers d'Esther;Les Cahiers d'Esther (livre, 2016, auteur : Riad Sattouf);livre;2016;auteur : Riad Sattouf;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-les-cahiers-d-esther-2016;3;0
Les Sept Sœurs;Les Sept Sœurs (livre, 2014, auteur : Lucinda Riley);livre;2014;auteur : Lucinda Riley;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-les-sept-s-urs-2014;3;0
Millénium;Millénium (livre, 1983, auteur : John Varley);livre;1983;auteur : John Varley;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-millenium-1983;3;0
Plus malin que le diable;Plus malin que le diable (livre, 1938, auteur : Napoleon Hill);livre;1938;auteur : Napoleon Hill;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-plus-malin-que-le-diable-1938;3;0
Concerto pour clarinette de Mozart;Concerto pour clarinette de Mozart (musique, 1791, artiste : Wolfgang Amadeus Mozart);musique;1791;artiste : Wolfgang Amadeus Mozart;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-concerto-pour-clarinette-de-mozart-1791;3;0
Delivery;Delivery (musique, 2007, artiste : Babyshambles);musique;2007;artiste : Babyshambles;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-delivery-2007;3;0
Demon Days;Demon Days (musique, 2005, artiste : Gorillaz);musique;2005;artiste : Gorillaz;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-demon-days-2005;3;0
I Can Do It with a Broken Heart;I Can Do It with a Broken Heart (musique, 2024, artiste : Taylor Swift);musique;2024;artiste : Taylor Swift;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-i-can-do-it-with-a-broken-heart-2024;3;0
Jungle;Jungle (musique, 2016, artiste : Tash Sultana);musique;2016;artiste : Tash Sultana;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-jungle-2016;3;0
Killing Me Softly with His Song;Killing Me Softly with His Song (musique, 1973, artiste : Roberta Flack);musique;1973;artiste : Roberta Flack;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-killing-me-softly-with-his-song-1973;3;0
Knights of Cydonia;Knights of Cydonia (musique, 2006, artiste : Muse);musique;2006;artiste : Muse;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-knights-of-cydonia-2006;3;0
Marillion;Marillion (musique, 1979, artiste : Marillion);musique;1979;artiste : Marillion;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-marillion-1979;3;0
Slipping Through My Fingers;Slipping Through My Fingers (musique, 1981, artiste : ABBA);musique;1981;artiste : ABBA;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-slipping-through-my-fingers-1981;3;0
Summertime;Summertime (musique, 1958, artiste : Ella Fitzgerald, Louis Armstrong);musique;1958;artiste : Ella Fitzgerald, Louis Armstrong;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-summertime-1958;3;0
The Nights;The Nights (musique, 2014, artiste : Avicii);musique;2014;artiste : Avicii;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-the-nights-2014;3;0
The Scientist;The Scientist (musique, 2002, artiste : Coldplay);musique;2002;artiste : Coldplay;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/musique-the-scientist-2002;3;0
